,Immoweb ID,Property type,property sub-type,Price,Eur/m2,Extra,Post code,Construction year,Building condition,Living area,Kitchen type,Bedrooms,Terrace surface,Energy class,Double glazing,url address,Swimming pool,Garden surface,Garden,Surface of the plot,Municipality,Region
11235,9691767,1,DUPLEX,469000,3635.6589147286822,,1180,2020,4,129,4.0,3.0,10.0,,2.0,https://www.immoweb.be/en/classified/duplex/for-sale/uccle/1180/9691767?searchId=61feb4d0b6d98,0.0,,0.0,,uccle,Brussels Capital Region
11236,9718417,1,DUPLEX,385000,2711.2676056338028,,3010,0,4,142,10.0,3.0,25.0,7.0,2.0,https://www.immoweb.be/en/classified/duplex/for-sale/leuven/3010/9718417?searchId=61feb4d0b6d98,0.0,,0.0,,leuven,Flemish Brabant Province
11237,9722889,1,DUPLEX,325000,3421.0526315789475,,8370,0,4,95,10.0,2.0,,6.5,2.0,https://www.immoweb.be/en/classified/duplex/for-sale/blankenberge/8370/9722889?searchId=61feb4d0b6d98,0.0,,0.0,,blankenberge,West Flanders Province
11238,9693372,1,DUPLEX,280500,1602.857142857143,,4650,1850,4,175,4.0,3.0,,6.5,2.0,https://www.immoweb.be/en/classified/duplex/for-sale/herve/4650/9693372?searchId=61feb4d0b6d98,0.0,,0.0,,herve,Liège Province
11239,9662663,1,DUPLEX,519000,3460.0,,1090,2021,4,150,10.0,3.0,11.0,,2.0,https://www.immoweb.be/en/classified/duplex/for-sale/jette/1090/9662663?searchId=61feb4d0b6d98,0.0,,0.0,,jette,Brussels Capital Region
11240,9736453,1,DUPLEX,795000,3785.714285714286,,1150,1974,3,210,10.0,3.0,20.0,1.5,2.0,https://www.immoweb.be/en/classified/duplex/for-sale/woluwe-saint-pierre/1150/9736453?searchId=61feb4d0b6d98,,,0.0,,woluwe-saint-pierre,Brussels Capital Region
11241,9653738,1,DUPLEX,220000,2315.7894736842104,,6717,2005,2,95,4.0,2.0,52.0,5.0,,https://www.immoweb.be/en/classified/duplex/for-sale/attert/6717/9653738?searchId=61feb4d0b6d98,,,0.0,,attert,Luxembourg Province
11242,9511969,1,DUPLEX,259000,1400.0,,4000,0,4,185,,3.0,,6.5,2.0,https://www.immoweb.be/en/classified/duplex/for-sale/liege/4000/9511969?searchId=61feb4d0b6d98,,,0.0,,liege,Liège Province
11243,9564006,1,DUPLEX,580000,4113.475177304965,,1050,0,4,141,10.0,2.0,,1.5,2.0,https://www.immoweb.be/en/classified/duplex/for-sale/ixelles/1050/9564006?searchId=61feb4d0b6d98,0.0,,0.0,,ixelles,Brussels Capital Region
11245,9575493,1,DUPLEX,655000,3945.7831325301204,,1050,0,4,166,10.0,3.0,,1.5,2.0,https://www.immoweb.be/en/classified/duplex/for-sale/ixelles/1050/9575493?searchId=61feb4d267583,0.0,,0.0,,ixelles,Brussels Capital Region
11246,9522358,1,DUPLEX,725000,4239.766081871345,,1050,1988,4,171,10.0,3.0,40.0,4.0,2.0,https://www.immoweb.be/en/classified/duplex/for-sale/ixelles/1050/9522358?searchId=61feb4d267583,0.0,,0.0,,ixelles,Brussels Capital Region
11247,9698556,1,DUPLEX,765000,4500.0,,1000,0,4,170,10.0,3.0,55.0,1.5,2.0,https://www.immoweb.be/en/classified/duplex/for-sale/bruxelles/1000/9698556?searchId=61feb4d267583,0.0,,0.0,,bruxelles,Brussels Capital Region
